term,title,link
risk management,Mathematical Explanation and Derivation of the Aggregate Cost ofRiskin the Banking Industry,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5172415
risk management,Incorporating Machine Learning and Big Data Analytics in Stress Testing and Scenario Analysis for EnhancedRiskManagementin Financial Institutions,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5193094
risk management,Quantitative Methods for Assessing Credit ConcentrationRiskin Banks: Practical Approaches for Limited Data Scenarios,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5193036
risk management,MarketRiskAssessment: A Study of Stress Testing Methods for Banks with Limited or No Trading Book Exposure,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5229997
risk management,LiquidityRiskunder Stress: Lessons from Recent Bank Failures,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5260010
risk management,Actuarial Modeling for Projected Default Rates and Credit Losses in the Financial Sector: An Innovative Approach to Backtesting and Stress Testing,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5181473
risk management,Challenges in ApplyingRiskManagementConcepts in Practice,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3083144
risk management,Beyond ‘Bayesian vs. Var’ Dilemma to Empirical ModelRiskManagement: ManagingRiskfor Hedge Funds,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2538401
risk management,Beyond ‘Bayesian vs. Var’ Dilemma to Empirical ModelRiskManagement: ManagingRiskfor Hedge Funds,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4301788
risk management,AI and Machine Learning in CreditRiskAssessment,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5260027
risk management,How to Stump a Corporate Lawyer: Means of Effective LegalRiskManagementfor IP Counsel,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=964253
risk management,Determining Loss Given Default for Small Banks with Recovery and Default Rate Data Issues,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5172380
risk management,Can StrategicRiskManagementContribute to EnterpriseRiskManagement?  A StrategicManagementPerspective,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2512477
risk management,EnterpriseRiskManagementand DefaultRisk: Evidence from the Banking Industry,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2764132
risk management,RiskManagementin AssetManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1440266
risk management,Assessing Climate TransitionRiskin the GCC Region: Challenges and Modeling Techniques for Sustainable Policy Development,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5174145
risk management,Estimating Recovery Rates in the Absence of Sufficient Data for LGD Computation: A Practical Framework,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5275286
risk management,"Toward Integrated EnterpriseRiskManagement, ModelRiskManagement& Cyber-FinanceRiskManagement: Bridging Networks, Systems and Controls Frameworks",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2792629
risk management,Methodologies to Develop Low Default Probability of Default Curve Models for the Portfolios with Zero Default Rates in-line with BASEL Requirements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5198561
risk management,"Cybersecurity & Cyber-FinanceRiskManagement: Strategies, Tactics, Operations, &, Intelligence: EnterpriseRiskManagementto ModelRiskManagement: Understanding Vulnerabilities, Threats, &RiskMitigation (Presentation Slides)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2693886
risk management,A Perspective on the Principles for Sustainable Insurance:RiskManagementand Value,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2375809
risk management,"A Report on the Future of Finance, Future ofRisk, and Future of Quant:Risk, Uncertainty, and, Profit for the Cyber Era: ModelRiskManagementof Cyber Insurance Models using Quantitative Finance and Advanced Analytics",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2553547
risk management,Preface to EnterpriseRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1478373
risk management,RiskManagementin an AssetManagementCompany: A Practical Case,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=252294
risk management,Aktuelle Entwicklungen im CorporateRiskManagement(Current developments in corporateriskmanagement),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2253910
risk management,"RiskManagement: History, Definition and Critique",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2231635
risk management,"Complexity, Maturity and Competency in the ProjectRiskManagementEnvironment: A Relational Framework",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3354041
risk management,"OperationalRiskManagementin Practice: Implementation, Success Factors and Pitfalls: Efficient Implementation for Midsize and Small Asset Managers, Hedge Funds, Private Equity Funds, Family Offices",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2170784
risk management,CreditRiskRatings and Noise,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3958362
risk management,A Life Cycle View of EnterpriseRiskManagement: The Case of Southwest Airlines Jet Fuel Hedging,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1554971
risk management,"The Scholar's Roadmap: How to Initiate, Structure, and Write Academic Research at the Graduate Level",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5261543
risk management,RiskManagementData and Information for Improved Insight,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2195031
risk management,RiskManagementResearch Report - Spring 2010,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1594897
risk management,"RiskManagementCommittee, Institutional Ownership, and Real EarningsManagement",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4071824
risk management,Guide to EffectiveRiskManagement3.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3014251
risk management,Raising the Bar: Principles-Based Guidance for BoardRiskCommittees andRiskFunctions in the UK Financial Services Sector,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3701500
risk management,Learning andRiskManagementDecisions,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2628241
risk management,"AI, Machine Learning & Deep LearningRiskManagement& Controls: Beyond Deep Learning and Generative Adversarial Networks: ModelRiskManagementin AI, Machine Learning & Deep Learning",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3193693
risk management,Derivatives and CorporateRiskManagement: Participation and Volume Decisions in the Insurance Industry,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=92731
risk management,"AI, Machine Learning & Deep LearningRiskManagement& Controls: Beyond Deep Learning and Generative Adversarial Networks: ModelRiskManagementin AI, Machine Learning & Deep Learning: Princeton Presentations in AI-MLRiskManagement& Control Systems (Presentation Slides)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3167035
risk management,Artificial Intelligence Augmentation for Large-Scale Global Systemic and CyberRiskManagementProjects: ModelRiskManagementfor Minimizing the Downside Risks of Artificial Intelligence and Machine Learning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4076445
risk management,Risk-Aware Culture in EnterpriseRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2189509
risk management,Evolution of CorporateRiskManagementApproach,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2189538
risk management,RiskManagementResearch Report - Fall 2009,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1504425
risk management,Practical Application of Vector Autoregression Using Impulse Response Function Modeling in the Financial Industry,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5174051
risk management,EnterpriseRiskManagementin Financial Intermediation Revisited,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2251367
